item_number,task_id,task_type,difficulty,prompt,instructions,participant_answer
1,capacity_easy_007,capacity,Easy,"You are given 2 people, each holding a unique item. After a series of swaps, report who holds each item.

Starting positions:
- Celine holds a ivory key
- Maren holds a slate compass

Swaps:
1. Celine and Maren swap items.
2. Celine and Maren swap items.

After all swaps, list each person and their current item.
Format your answer EXACTLY as:
ANSWER:
- [Person]: [item]
- [Person]: [item]",List each person and the item they are currently holding.,
2,interference_easy_001,interference,Easy,"You will receive a series of updates to one or more records. Each update REPLACES the previous value. After reading ALL updates, report ONLY the FINAL value for each record.

Updates (in order):
  Update: registry is now set to '574'
  Update: registry is now set to '943'
  Update: registry is now set to '850'

What is the FINAL value of each record?
ANSWER:
- registry: [final value]","For each record, write ONLY the most recent (final) value.",
3,capacity_medium_013,capacity,Medium,"You are given 3 people, each holding a unique item. After a series of swaps, report who holds each item.

Starting positions:
- Bram holds a russet shell
- Nico holds a teal feather
- Soren holds a indigo dagger

Swaps:
1. Bram and Nico swap items.
2. Nico and Soren swap items.
3. Bram and Nico swap items.
4. Nico and Soren swap items.

After all swaps, list each person and their current item.
Format your answer EXACTLY as:
ANSWER:
- [Person]: [item]
- [Person]: [item]
- [Person]: [item]",List each person and the item they are currently holding.,
4,interference_medium_013,interference,Medium,"You will receive a series of updates to one or more records. Each update REPLACES the previous value. After reading ALL updates, report ONLY the FINAL value for each record.

Updates (in order):
  Update: destination is now set to 'Colette'
  Update: reference is now set to 'Freya'
  Update: destination is now set to 'Freya'
  Update: reference is now set to 'Bashir'
  Update: destination is now set to 'Maren'
  Update: reference is now set to 'Soren'
  Update: destination is now set to 'Magnus'
  Update: reference is now set to 'Ravi'
  Update: destination is now set to 'Adaeze'
  Update: reference is now set to 'Vesna'
  Update: destination is now set to 'Gael'
  Update: reference is now set to 'Idris'

What is the FINAL value of each record?
ANSWER:
- destination: [final value]
- reference: [final value]","For each record, write ONLY the most recent (final) value.",
5,capacity_hard_023,capacity,Hard,"You are given 4 people, each holding a unique item. After a series of swaps, report who holds each item.

Starting positions:
- Willa holds a ochre scroll
- Idris holds a indigo compass
- Hana holds a ivory dagger
- Orla holds a green mirror

Swaps:
1. Willa and Hana swap items.
2. Idris and Hana swap items.
3. Willa and Orla swap items.
4. Willa and Idris swap items.
5. Willa and Orla swap items.
6. Willa and Idris swap items.
7. Hana and Orla swap items.

After all swaps, list each person and their current item.
Format your answer EXACTLY as:
ANSWER:
- [Person]: [item]
- [Person]: [item]
- [Person]: [item]
- [Person]: [item]",List each person and the item they are currently holding.,
6,interference_hard_020,interference,Hard,"You will receive a series of updates to one or more records. Each update REPLACES the previous value. After reading ALL updates, report ONLY the FINAL value for each record.

Updates (in order):
  Update: contact is now set to 'Ines'
  Update: location is now set to 'Vesna'
  Update: coordinator is now set to 'Orla'
  Update: contact is now set to 'Dmitri'
  Update: location is now set to 'Kaia'
  Update: coordinator is now set to 'Uma'
  Update: contact is now set to 'Zora'
  Update: location is now set to 'Tariq'
  Update: coordinator is now set to 'Dmitri'
  Update: contact is now set to 'Soren'
  Update: location is now set to 'Lumi'
  Update: coordinator is now set to 'Dariush'
  Update: contact is now set to 'Bram'
  Update: location is now set to 'Idris'
  Update: coordinator is now set to 'Greta'
  Update: contact is now set to 'Freya'
  Update: location is now set to 'Ines'
  Update: coordinator is now set to 'Dmitri'
  Update: contact is now set to 'Dariush'
  Update: location is now set to 'Elara'
  Update: coordinator is now set to 'Kenji'
  Update: contact is now set to 'Bram'
  Update: location is now set to 'Bashir'
  Update: coordinator is now set to 'Xander'
  Update: contact is now set to 'Zain'
  Update: location is now set to 'Dmitri'
  Update: coordinator is now set to 'Idris'
  Update: contact is now set to 'Xander'
  Update: location is now set to 'Adaeze'
  Update: coordinator is now set to 'Bashir'
  Update: contact is now set to 'Viktor'
  Update: location is now set to 'Orla'
  Update: coordinator is now set to 'Celine'
  Update: contact is now set to 'Zain'
  Update: location is now set to 'Freya'
  Update: coordinator is now set to 'Nico'

What is the FINAL value of each record?
ANSWER:
- contact: [final value]
- location: [final value]
- coordinator: [final value]

Also answer these verification questions (Yes or No):
V1. Was 'Dmitri' ever assigned to contact? [Yes/No]","For each record, write ONLY the most recent (final) value.",
7,sustained_easy_007,sustained,Easy,"Read the entire document below carefully. Find ALL mentions of a musical instrument. List every instrument you find.

Important: There may be similar-sounding items that are NOT a musical instrument — do not include those.

---
The library held over thirty thousand volumes, most of them catalogued by hand in a system that only Sigrid fully understood. The wooden shelves bowed slightly under the weight. Sigrid mentioned seeing a theremin while crossing the square.

Evening fell quickly in the valley. The mountains blocked the last hour of sunlight, and by five o'clock the streetlights were already on. Bashir recalled that a music stand had appeared briefly near the market.

Construction on the new civic building proceeded on schedule despite the weather. The foreman reviewed the blueprints each morning, marking progress with a red pencil.

Evening fell quickly in the valley. The mountains blocked the last hour of sunlight, and by five o'clock the streetlights were already on.

The annual inspection of the bridge supports revealed nothing unusual. The engineers noted minor erosion along the northern pylons but deemed it within acceptable parameters. Reports from the harbour mentioned a pitch pipe had been observed twice that week.

The ferry crossed the strait twice daily, weather permitting. On calm days the journey took forty minutes; in rough seas it could take over an hour.

A thin rain began to fall just as Zain reached the old quarter. The cobblestones gleamed under the streetlights, and a cat watched from a window ledge with studied indifference. A flute was noted in the margin of the inspector's report.

The library held over thirty thousand volumes, most of them catalogued by hand in a system that only Lumi fully understood. The wooden shelves bowed slightly under the weight. Reports from the harbour mentioned a dulcimer had been observed twice that week.

The botanical garden maintained a collection of over four hundred species, each labelled with its Latin name and region of origin. A narrow gravel path wound between the beds.

The ferry crossed the strait twice daily, weather permitting. On calm days the journey took forty minutes; in rough seas it could take over an hour.

Trade negotiations between the two districts had stalled over a minor tariff dispute. The delegates from Zanzibar insisted on maintaining their position, while the merchants grew impatient. Ravi recalled that a harp had appeared briefly near the market.

The market square in Luang Prabang was busier than usual that morning. Vendors had set up their stalls before dawn, and the smell of roasted chestnuts mixed with diesel fumes from the delivery trucks. The survey team documented a violin in the area surrounding Recife.
---

List ALL instruments mentioned in the document, in the order they appear.
Format: ANSWER: [item1], [item2], [item3], ...","List ALL target items you found in the passage, separated by commas.",
8,stream_easy_001,stream_segregation,Easy,"Below are two interleaved conversations marked [A] and [B].
Answer questions ONLY about conversation A (about gardening guide).
Completely ignore conversation B.

[A] Mulch with wood chips to retain moisture.
[B] Market capitalization reached $396 billion.
[A] Mulch with wood chips to retain moisture.
[B] The debt-to-equity ratio stands at 1.37.
[A] Space each plant at least 8 inches apart.
[B] Revenue from the Asia-Pacific region grew 5%.
[A] Water thoroughly every 13 days during spring.
[B] Net profit margin improved to 23.8%.

Question 1: Based ONLY on conversation A (about gardening guide), what is the first specific number or measurement mentioned?

ANSWER:
1. [your answer]",Answer the question about Stream A only. Ignore Stream B.,
9,sustained_medium_013,sustained,Medium,"Read the entire document below carefully. Find ALL mentions of a musical instrument. List every instrument you find.

Important: There may be similar-sounding items that are NOT a musical instrument — do not include those.

---
The clock tower had been silent for three months while repairs were made to the mechanism. Residents had grown accustomed to the quiet and were divided on whether to restore it. Among the items catalogued was a dulcimer, noted without further comment.

The market square in Bruges was busier than usual that morning. Vendors had set up their stalls before dawn, and the smell of roasted chestnuts mixed with diesel fumes from the delivery trucks.

A street musician played something melancholy on a worn accordion. The tune drifted through the alley, mixing with the clatter of dishes from a restaurant kitchen.

The library held over thirty thousand volumes, most of them catalogued by hand in a system that only Ines fully understood. The wooden shelves bowed slightly under the weight.

Construction on the new civic building proceeded on schedule despite the weather. The foreman reviewed the blueprints each morning, marking progress with a red pencil.

A shipment of textiles arrived from the south, packed in crates stamped with unfamiliar markings. The customs officer consulted her reference manual before clearing them.

Evening fell quickly in the valley. The mountains blocked the last hour of sunlight, and by five o'clock the streetlights were already on.

The clock tower had been silent for three months while repairs were made to the mechanism. Residents had grown accustomed to the quiet and were divided on whether to restore it.

A thin rain began to fall just as Tala reached the old quarter. The cobblestones gleamed under the streetlights, and a cat watched from a window ledge with studied indifference.

Trade negotiations between the two districts had stalled over a minor tariff dispute. The delegates from Fez insisted on maintaining their position, while the merchants grew impatient. The logbook recorded a metronome at the northern edge of the district.

The workshop on Sigrid Street had been there for decades, its walls darkened by time and soot. Inside, the hum of machinery was constant, a low vibration you felt in your teeth. A tuning fork was spotted near the old bridge that morning.

A street musician played something melancholy on a worn accordion. The tune drifted through the alley, mixing with the clatter of dishes from a restaurant kitchen.

The old postal route between Cartagena and the coastal villages had not been used in years. Weeds pushed through the gravel, and the mile markers were barely legible.

A shipment of textiles arrived from the south, packed in crates stamped with unfamiliar markings. The customs officer consulted her reference manual before clearing them. A amplifier was noted in the margin of the inspector's report.

The clock tower had been silent for three months while repairs were made to the mechanism. Residents had grown accustomed to the quiet and were divided on whether to restore it. Yuki recalled that a bassoon had appeared briefly near the market.

Fog rolled in from the harbour, thick enough to muffle the sound of the bells. Ships sat motionless at their moorings, waiting for the visibility to improve before attempting the channel.

The old postal route between Cartagena and the coastal villages had not been used in years. Weeds pushed through the gravel, and the mile markers were barely legible. Reports from the harbour mentioned a harp had been observed twice that week.

The ferry crossed the strait twice daily, weather permitting. On calm days the journey took forty minutes; in rough seas it could take over an hour. A mbira was spotted near the old bridge that morning.

A thin rain began to fall just as Zora reached the old quarter. The cobblestones gleamed under the streetlights, and a cat watched from a window ledge with studied indifference. Leif mentioned seeing a hurdy-gurdy while crossing the square.

Trade negotiations between the two districts had stalled over a minor tariff dispute. The delegates from Plovdiv insisted on maintaining their position, while the merchants grew impatient.

Construction on the new civic building proceeded on schedule despite the weather. The foreman reviewed the blueprints each morning, marking progress with a red pencil.

The market square in Ulaanbaatar was busier than usual that morning. Vendors had set up their stalls before dawn, and the smell of roasted chestnuts mixed with diesel fumes from the delivery trucks. The survey team documented a microphone in the area surrounding Reykjavik.

A shipment of textiles arrived from the south, packed in crates stamped with unfamiliar markings. The customs officer consulted her reference manual before clearing them. A erhu was spotted near the old bridge that morning.

Fog rolled in from the harbour, thick enough to muffle the sound of the bells. Ships sat motionless at their moorings, waiting for the visibility to improve before attempting the channel. Nico recalled that a cello had appeared briefly near the market.

Trade negotiations between the two districts had stalled over a minor tariff dispute. The delegates from Cusco insisted on maintaining their position, while the merchants grew impatient.

Trade negotiations between the two districts had stalled over a minor tariff dispute. The delegates from Ulaanbaatar insisted on maintaining their position, while the merchants grew impatient.

A street musician played something melancholy on a worn accordion. The tune drifted through the alley, mixing with the clatter of dishes from a restaurant kitchen. Reports from the harbour mentioned a mixer had been observed twice that week.

The workshop on Tariq Street had been there for decades, its walls darkened by time and soot. Inside, the hum of machinery was constant, a low vibration you felt in your teeth.

A thin rain began to fall just as Freya reached the old quarter. The cobblestones gleamed under the streetlights, and a cat watched from a window ledge with studied indifference. A balalaika was spotted near the old bridge that morning.

The botanical garden maintained a collection of over four hundred species, each labelled with its Latin name and region of origin. A narrow gravel path wound between the beds.
---

List ALL instruments mentioned in the document, in the order they appear.
Format: ANSWER: [item1], [item2], [item3], ...","List ALL target items you found in the passage, separated by commas.",
10,stream_medium_013,stream_segregation,Medium,"Below are two interleaved conversations marked [A] and [B].
Answer questions ONLY about conversation A (about sports commentary).
Completely ignore conversation B.

[A] Hana scored from 21 yards out.
[B] Apply the moisturizing cream 2 times per day.
[A] The score is 4-0 at the end of the first half.
[B] Exercise for at least 12 minutes daily.
[A] The corner kick is taken by Ravi.
[B] Exercise for at least 39 minutes daily.
[A] The referee issued a red card for the foul.
[B] Take 500mg of amoxicillin twice daily.
[A] The match has been played in sunshine conditions.
[B] Blood pressure reading was 155/69.
[A] Substitution: Zain replaces Sigrid.
[B] The follow-up appointment is in 2 weeks.

Question 1: Based ONLY on conversation A (about sports commentary), what is the first specific number or measurement mentioned?

ANSWER:
1. [your answer]",Answer the question about Stream A only. Ignore Stream B.,
